title,image_url,permalink,background,ingredients,instructions,tips,remarks
千切り白菜とカリカリ豚肉の南蛮漬け,https://www.osakafoodstyle.com/wp/wp-content/uploads/2019/01/7b146759d5701f20de48782ce5381447.jpg|https://www.osakafoodstyle.com/wp/wp-content/uploads/2019/01/07584ae9a02a6f660e47ff4cbec193bc.jpg|https://www.osakafoodstyle.com/wp/wp-content/uploads/2019/02/b34d67de54f57e46334549f71dc98614.jpg,https://www.osakafoodstyle.com/recipe/%e5%8d%83%e5%88%87%e3%82%8a%e7%99%bd%e8%8f%9c%e3%81%a8%e3%82%ab%e3%83%aa%e3%82%ab%e3%83%aa%e8%b1%9a%e8%82%89%e3%81%ae%e5%8d%97%e8%9b%ae%e6%bc%ac%e3%81%91/,旨み（グルタミン酸）と甘みが凝縮された冬の白菜の芯を主役にしたレシピです。調理の壁となる白菜の「水分の多さ」を逆手に取り、塩析によって出てきた水分を出汁代わりにして作る南蛮漬けです。,"白菜の外葉の芯 10枚分(300〜400g) / a(砂糖・薄口しょうゆ 各大さじ1) / 豚薄切り肉 150g(豚肩ロースが理想) / 小麦粉 大さじ2 / b(生姜すりおろし 小さじ1/2,酢 50cc,昆布 3g) / 青ネギ(小口切り) 50g","白菜は芯と葉に切り分ける。(葉は一口大に切って、生でサラダとして食べられる) 芯は繊維を断つように斜めに切り、深さのある保存容器(蓋つきのホーローバットが理想)にaと合わせておく。まな板に豚肉を広げ、茶こしでまんべんなく小麦粉を両面に薄くまぶす。
トースターまたは魚焼きグリルにアルミ箔を敷き、豚肉を広げ、10〜15分ほどカリカリになるまで焼く。1.の保存容器に焼けた豚肉とbを入れ、20分間以上おいて味をなじませる。
器に汁ごとよそい、青ネギをのせる。昆布は薄切りにして一緒に盛ってもよい。",白菜の芯を千切りにして調味料を先に絡めておくことで、白菜自体の旨みが溶け出した水分を引き出し、それを出汁として利用します。白菜の千切りがまるでパスタのようにしっとりツルンとした食感に仕上がります。,白菜を400gほど使いますが、いくらでも食べられてしまう一品です。酸性食品である肉に対し、アルカリ性食品の代表格である昆布を合わせることで健康バランスを整えます。また、肉の旨み（イノシン酸）と昆布・白菜の旨み（グルタミン酸）による相乗効果で、非常に深い味わいになります。
たっぷり青ネギと牛すじ出汁のスープ,nan,https://www.osakafoodstyle.com/?post_type=recipe&p=6277,牛すじをじっくり煮込んでとった濃厚な出汁に、たっぷりの青ネギを合わせた風味豊かなスープです。,"牛すじ 200g / 焼酎 大さじ1(または日本酒大さじ2) / a(水 500cc, 薄口しょうゆ 大さじ1/2, 昆布 3g, 生姜スライス 5枚(5g), ネギの青い部分 2本分(50g))","【牛すじの下処理をする】 難波ネギは小口切りにする。 鍋にたっぷりの湯を沸かし、牛すじを塊ごと入れる。 表面が白くなったら、ザルにあげる。1cm角に切り、焼酎を絡める。
【牛すじ出汁をとる】 鍋にa、1.の牛すじを入れ、圧力鍋で30分煮る。
【味を整える】 ネギ、生姜、昆布、牛すじ(ネギ焼きに使う)を取り出す。 お好みの野菜(今回はいちょう切りにした大根を使用)、青ネギを加えて1分加熱し、火を消す。",牛すじは塊のまま下茹でしてからカットし、焼酎を絡めることで臭みを除去します。圧力鍋を使用することで短時間で柔らかく出汁を抽出できます。,取り出した牛すじは、ネギ焼きなどの他の料理に再利用することが可能です。
カブのみぞれ椀,https://www.osakafoodstyle.com/wp/wp-content/uploads/2019/02/d548a2a06ee071968a4df469de107a61.jpg|https://www.osakafoodstyle.com/wp/wp-content/uploads/2019/02/e59ab6e085722403a1553e92dfc95d3f.jpg|https://www.osakafoodstyle.com/wp/wp-content/uploads/2019/02/d247b1549c9d065bc7e2e04638f35fa8.jpg,https://www.osakafoodstyle.com/recipe/%e7%99%bd%e3%81%bf%e3%81%9d%e4%bb%95%e7%ab%8b%e3%81%a6%e3%81%ae%e3%82%ab%e3%83%96%e3%81%ae%e3%81%bf%e3%81%9e%e3%82%8c%e6%a4%80/,大阪の伝統野菜「天王寺かぶら」は、江戸時代から栽培されている旬の野菜です。カブの白い部分（胚軸）には、炭水化物の消化を助ける酵素（ジアスターゼやアミラーゼ）やビタミンCが豊富に含まれています。煮物にすることで胃腸を温め、冷えによる腹痛を予防する効果も期待できる、風邪の季節に最適な一品です。,"カブ 中サイズ2個 / 豚薄切り肉 100g / a(水 300cc,酒 大さじ2,昆布 3g) / 薄口しょうゆ 小さじ2 / 白味噌 大さじ3〜","カブ1個は皮を薄く剥き、すりおろす。カブ1個は皮をぶ厚めに剥き、薄めのくし切り(12等分)に切る。※カブは半分に切って、断面をよく見ると、線があります。そこまでしっかり皮をむいてください。皮は捨てずに千切りにする。
鍋にaを沸かし、豚肉を入れて、色が変わったらすぐに取り出す。浮いたアクを網じゃくしでとり、くし切りにしたカブ、皮、薄口しょうゆを入れ、蓋をして3分煮込む。
蓋を開け、カブが柔らかくなったことを確認したら、すりおろしのカブ、白味噌大さじ3を溶く。味見をして、たりなければ白味噌をたして調整し、豚肉、 葉(2本で十分)を入れて、軽く温め火を消す。",カブの断面にある緑の線の内側はとろとろ、外側はしゃっきりとした食感です。この線までしっかり厚めに皮を剥くことで、食べた時の違和感をなくし、仕上がりのクオリティをワンランクアップさせることができます。,残ったカブの葉は、200gに対し大さじ1の塩麹で揉んで浅漬けにしたり、グリーンスムージーの材料として活用したりするのがおすすめです。
お弁当にぴったりのハンバーグ,https://www.osakafoodstyle.com/wp/wp-content/uploads/2019/03/P3070005-1.jpg|https://www.osakafoodstyle.com/wp/wp-content/uploads/2019/03/e3f2d2ec8570fca7dd5a9b4c7d9f73c0.jpg,https://www.osakafoodstyle.com/recipe/%e3%81%8a%e5%bc%81%e5%bd%93%e3%81%be%e3%81%b2%e3%81%a3%e3%81%9f%e3%82%8a%e3%81%ae%e3%83%8f%e3%83%b3%e3%83%90%e3%83%bc%e3%82%b0/,お弁当のハンバーグは冷めると肉汁が流れ出て他のおかずにしみてしまいがちですが、このレシピでは衝撃で肉汁が漏れず、冷めたからこそジューシーで旨味たっぷりの状態を保てるように仕上げます。,合挽肉 400g(使う直前までしっかり冷やしておく) / 卵 1個 / パン粉(または粉砕した麩) 1カップ(25g) / 玉ねぎ 1/2個(100g) / 塩 小さじ1/3 / 油(炒め用) 大さじ1 / 日本酒 大さじ3 / 中濃ソース 大さじ3 / ケチャップ 大さじ3,"バットは冷凍庫で冷やしておく。大きめのしっかりめのビニル袋(13号サイズ)に合挽肉と塩を入れ、片手で袋の口を閉じ、片手でしっかりタネを揉む。初めより固くなり、こねにくくなったら、冷蔵庫に入れる。
新しいビニル袋に玉ねぎ、パン粉、卵を入れ、均一になるまで混ぜる。冷蔵庫で冷やしておいた1.の肉だねを入れ、揉み込むようにしっかり混ぜる。冷えたバットに取り出し、4～6等分にする。
フライパンを強火で熱し、油を回し入れて、2.の肉だねを並べ、蓋をして2分焼く。裏返して蓋をし、強火で2分焼き、弱火に落として10分焼く。
日本酒、中濃ソース、ケチャップを入れ、弱火にかける。ゴムベラで底についた肉汁をこそげながら、全体を大きく混ぜて加熱する。フツフツ小さい泡が出たら、火を消し、ハンバーグにかける。",できたては「肉団子」のような強い歯ごたえがありますが、冷めることで味が落ち着き、お弁当に最適な美味しさになります。表面に白い牛脂が浮きにくく、形がしっかり残るため、見栄えも良くなります。肉を扱う際は、直前まで肉を冷やし、バットも冷やしておくことがポイントです。,※ハンバーグを4等分するか、6等分するかでお弁当のサイズに合わせられます。揺れても崩れにくいため、持ち運びの多いお弁当に最適です。
なにわ風クラムチャウダー,https://www.osakafoodstyle.com/wp/wp-content/uploads/2019/03/89118253af58d6b7e06d3b2213624953-e1552491027892.jpg|https://www.osakafoodstyle.com/wp/wp-content/uploads/2019/03/clamchowder.jpg|https://www.osakafoodstyle.com/wp/wp-content/uploads/2019/03/IMG_2404.jpg|https://www.osakafoodstyle.com/wp/wp-content/uploads/2019/03/IMG_2405.jpg|https://www.osakafoodstyle.com/wp/wp-content/uploads/2019/03/IMG_2406.jpg|https://www.osakafoodstyle.com/wp/wp-content/uploads/2019/03/IMG_2407.jpg|https://www.osakafoodstyle.com/wp/wp-content/uploads/2019/03/15b7270afd74ec210136cd6c63c87484.jpg,https://www.osakafoodstyle.com/recipe/clamchowder/,アサリの旬である春に合わせ、春の野菜を使って「器の中で季節を表現する」和食のコンセプトを取り入れたレシピです。昆布と白味噌を使用することで、日本ならではの「なにわ風」の味わいに仕上げています。,アサリ(砂抜き済み・殻付) 300g(12〜16個) / 水 300cc / 昆布 3g / ローリエ 1枚 / 春キャベツ 1/4個(300g) / 新じゃがいも 1個(150g) / ベーコン 1枚(25g) / 牛乳 200cc(小1パック) / オリーブ油 大さじ1 / 小麦粉 大さじ1 / 白味噌 大さじ3,"厚手の鍋にアサリ、水を入れ、フタをして強火にかける。沸騰したら、弱火に落として10分煮る。 フタをあけ、アサリを取り出し、昆布とローリエを入れ、蓋をしておく。
野菜を切る(アサリを煮ている間に行う)。春キャベツ1/4玉は一方の切り口が右に向くように置き、端から1cm幅に切る。全体を90度向きを変え、さらに端から1cm幅に切り、1cm角の色紙状にする。新ジャガイモは縦長に置き、端から1cm幅に切り、横に倒して端から1cm幅に切り棒状にした後、90度に向きを変え1cm幅に切り、1cm角のサイコロ状にする。ベーコンは1cm幅に切る。
フライパンにオリーブ油を熱し、春キャベツと新じゃがいも、ベーコンを入れて、1分炒める。全体に油がまわったことを確認したら、小麦粉を全体にふりかけ、上下を返しながら、2分間しっかり炒める。
1.のアサリ出汁が入った鍋に2.の具材を入れ、フタをして中火で10分煮込む。 途中沸騰してきたら弱火に落とす。 フタを開け、昆布を取り出し、白味噌を溶かし入れ、牛乳を入れる。3分間中火にかけて煮込み、火を消す。味を見て、薄ければ塩少々足す。",50度の3%塩分のぬるま湯につける「アサリの砂抜き」がポイントです。アサリをバッドに入れ、水150ccと沸いた熱湯150ccを注ぎ（ヒタヒタの水加減）、1〜3分置きます。火傷しない程度の水温になったら殻同士をこすり合わせ、汚れや砂を出して新聞紙を被せ10分置きます。50度のヒートショックによりアサリが水分を最大限に吸収し、異物を一気に吐き出してくれます。,牛乳は豆乳でも代用可能ですが、なるべく濃厚なものを使用してください。本格的なクラムチャウダーにする場合は、アサリを白ワインで蒸し、野菜を「ジャガイモ・玉ねぎ・ニンジン」に変更し、バターで炒めて塩で味を調え、昆布を除いて牛乳を300ccに増やします。
丸ごとキュウリ漬け,https://www.osakafoodstyle.com/wp/wp-content/uploads/0205/10/89fc73b0cdb3f9e36409b3f24620b3ab.jpg,https://www.osakafoodstyle.com/recipe/wholecucumberpickles/,大阪では9〜12月がキュウリの旬とされており、秋に育つキュウリは丸々と太ってジューシーなのが特徴です。屋台の「丸かぶりキュウリ」のような一品が、下処理を施すことで苦味が抜け、優しい塩味と旨味をまとって食べやすくなります。,きゅうり 3本 / 昆布だし 100cc / 塩 小さじ1 / 唐辛子 1本,"きゅうりは板ずりし、流水で洗って、水気を切る。ピーラーで縦縞を4本むき、フォークでところどころ刺す。
ジップロックに昆布だし・塩・唐辛子と、下処理したきゅうりを合わせ、一晩おく。",キュウリを丸ごと漬ける際、そのままでは表面のみ味が濃くなり、中まで味が浸透しません。奥までしっかり旨味を染み込ませて苦味を除くために、「ピーラーで4本皮をむく」「フォークで穴を開ける」工程は必ず行ってください。,ジップロックの耐久温度は100度です。変形や破損の恐れがあるため、出来立ての熱い昆布だしをそのまま注がないよう注意してください。
菜の花だけの白和え,https://www.osakafoodstyle.com/wp/wp-content/uploads/2019/03/d26bdba58ed1ca6e353f3fbfae6f9b01.jpg|https://www.osakafoodstyle.com/wp/wp-content/uploads/2019/03/d26bdba58ed1ca6e353f3fbfae6f9b01-1.jpg,https://www.osakafoodstyle.com/recipe/%e8%8f%9c%e3%81%ae%e8%8a%b1%e3%81%a0%e3%81%91%e3%81%ae%e7%99%bd%e5%92%8c%e3%81%88/,春の訪れを感じる時期に旬を迎える菜の花を使った、和食の定番料理です。菜の花本来の美味しさを引き立てるため、味を引き締め衣とのなじみを良くする「醤油洗い」を工程に取り入れているのが特徴です。,菜の花：1/2束(100g) / 薄口しょうゆ(醤油洗い用)：小さじ1/2 / 木綿豆腐：1/2丁(150g) / すりゴマ(白)：大さじ3 / 薄口しょうゆ：小さじ1/2 / 砂糖：小さじ1/2 / (お好みで)和がらし：適量,"木綿豆腐はキッチンペーパーで包み、重石を乗せて5分ほど水切りをする。菜の花は根元を5mmほど切り落とし、半分に切る。
鍋にたっぷりの湯を沸かす。下の茎の部分を入れ、30秒後、上の花の部分を入れて、さらに30秒後ザルにあげる。流水をざっとかけて(氷水に浸すのがベスト)、粗熱が取れたらしっかり絞る。薄口しょうゆをかけて手でなじませるように揉んで、再びしっかりと絞る（醤油洗い）。
ボウルに1.の木綿豆腐を入れて、滑らかにすりつぶし、すりゴマ、薄口しょうゆ、砂糖を加えて、しっかり混ぜて白和え衣を作る。食べる直前に菜の花を加え和え、器に盛る。※お好みで和がらしを添えるのもおすすめです。",白和えのポイントは「水切り」です。しっかりと豆腐から水分を出さないと、衣がシャバシャバになり、味が薄くなったり野菜に衣が絡みません。また、菜の花のポイントは「醤油洗い」です。薄く味をつけ、野菜の中の水分を出す効果があり、身を引き締め和え衣とのなじみをぐんと良くします。,菜の花は油と相性のいい「βカロテン」が豊富です。ごま油かオリーブ油を小さじ1/2〜1ほど、盛り付けてから上にかけると、より栄養価を吸収でき、中華または洋食仕立ての白和えになります。菜の花の旬をすぎたら、ゆでたサヤインゲンやスナップエンドウに置き換えても美味しくいただけます。
白菜シューマイ,https://www.osakafoodstyle.com/wp/wp-content/uploads/2019/03/43f09408347dcb95c1a23e539b581f1e.jpg,https://www.osakafoodstyle.com/recipe/%e7%99%bd%e8%8f%9c%e3%82%b7%e3%83%a5%e3%83%bc%e3%83%9e%e3%82%a4/,シューマイの皮の代わりに白菜の葉を使うことで、糖質を抑えつつ野菜の摂取量を増やせる健康的で経済的なレシピです。白菜が持つ食物繊維やβ-カロテン、ビタミンCも摂取できます。,"白菜の外葉の葉 10枚分 / a( 豚ひき肉 150g, 塩 小さじ1/4, 生姜すりおろし 小さじ1) / b( 砂糖・濃口しょうゆ・ごま油・片栗粉 各小さじ1 ) / 青ネギ(小口切り) 50g","白菜は芯と葉に切り分ける。(芯はシューマイには使わず、汁物や南蛮漬けに使ってください) 葉は縦半分に切り、熱湯でサッと茹でて粗熱をとる。
ボウルにaを入れて、しっかり混ぜる。bを入れて、軽く混ぜたら、最後に青ネギを入れ、よく混ぜて肉だねを作る。白菜の葉２切れを十字に重ね、肉だねを1/10ずつ真ん中にのせ、丸く形作りながら葉を巻いて包む。包み終わりを下にして、耐熱皿にのせる。同様に残り9個も包み、耐熱皿に並べる。
ふんわりラップをかけ、蒸し器で10分蒸す。またはラップをかける前に水大さじ2をまわしかけ、電子レンジ(500W)に10分かける。好みで練り辛子としょうゆをつけて食べる。",できるだけ肉汁を逃がさないように作るには、ひき肉は「買ったらすぐに冷蔵庫に入れる」「しっかり練る」ことが大切です。ひき肉に塩を加えてこねることで、肉に含まれるタンパク質が働き、肉の粘りが強くなります。それが加熱されると立体的な網目構造を作り、肉汁をその中に閉じ込めることができます。温度管理と十分に練ることを意識してください。,かんだ瞬間に口の中に広がる肉汁と肉のうま味が楽しめます。このひき肉の扱い方は、ハンバーグやつくねなど、ひき肉を団子状にする料理全般に応用できます。
無限きのこ,https://www.osakafoodstyle.com/wp/wp-content/uploads/2019/03/98698a2646d857e2e18f7ca2daa26882.jpg|https://www.osakafoodstyle.com/wp/wp-content/uploads/2019/03/b7eb7ddf16ed64a96d952dcdba05099b.jpg|https://www.osakafoodstyle.com/wp/wp-content/uploads/2019/03/b6ee61eedc2b82c895949821c869646c.jpg|https://www.osakafoodstyle.com/wp/wp-content/uploads/2019/03/4e1c60ec26f42621c2858683037f08f8.jpg,https://www.osakafoodstyle.com/recipe/%e3%80%90tv%e6%8a%ab%e9%9c%b2%e3%83%ac%e3%82%b7%e3%83%94%e3%80%91%e7%84%a1%e9%99%90%e3%81%8d%e3%81%ae%e3%81%93/,キノコ、昆布、鰹節のトリプルの旨みを活かした、味わい深く記憶に残る一品です。5分でできる簡単な作り置きとして、またお酒の肴にも適しています。,マイタケ・ブナしめじ・ブナピー 合わせて300g / 出しがら昆布 適量 / A:ごま油 大さじ1 / A:濃口しょうゆ 小さじ2 / 削り節 10g / 生姜のすりおろし 5g,"キノコは石づきをとり、食べやすい大きさにほぐす。
フライパンに出しがら昆布を敷き、キノコを広げ入れ、Aを回しかける。蓋をして強めの中火に3分かけて火を消す。
蓋を開け、削り節、生姜のすりおろしを加えて混ぜ合わせる。",複数の旨みの相乗効果で深みのある味わいになります。ごま油のコクと生姜の香りがキノコのアクを包み込むことで、より食べやすくなります。キノコは合計300gであれば、お好みの種類を組み合わせたり、1種類だけで作ることも可能です。,2018年10月25日放送 eo光TV「ゲツ→キン」紹介レシピ。秋野菜は冬の体に備えた栄養が豊富に含まれています。
ゴボウもりもり！鮭の南蛮漬け,https://www.osakafoodstyle.com/wp/wp-content/uploads/2019/03/5d5e894324834d6335cf0696b44512f3.jpg,https://www.osakafoodstyle.com/recipe/%e9%ae%ad%e3%81%a8%e3%81%94%e3%81%bc%e3%81%86%e3%81%ae%e5%8d%97%e8%9b%ae%e6%bc%ac%e3%81%91/,甘辛い味付けが一般的なゴボウを、さっぱり爽やかな味に仕立てた南蛮漬けです。しっかり炒めた香ばしいゴボウに、鮭と昆布の旨みがしっかり染み込んでいます。,鮭 2切れ / 酒 大さじ1 / 小麦粉 適宜 / 油 大さじ3 / ゴボウ 1本(150g) / 玉ねぎ 1/2個 / 南蛮酢（昆布だし・酢 各50cc、砂糖・薄口しょうゆ 各大さじ1.5）,"玉ねぎは薄切りにする。深めの保存容器に入れて、砂糖と合わせておく。鮭は半分のそぎ切りにし、酒を絡めて10分置く。水気を拭き、小麦粉をはたく。ゴボウはささがきにする。
フライパンに、油大さじ1/2をそそぎ、ゴボウを加え、全体を大きく混ぜたら、蓋をし、3分間、弱めの中火で蒸し焼きにする。全体が透き通り、ほんのり香ばしい焼き色がついている事を確認したら、1.の保存容器に移し、薄口しょうゆをかけて和える。
同じフライパンに油大さじ2を足し、鮭の両面を２分ずつこんがり焼く。2.の保存容器の底に焼いた鮭を入れ、上から覆うように玉ねぎとゴボウをのせて、ラップをし、冷蔵庫に入れて30分〜一晩おく。",ゴボウの火通りと味付けが重要です。工程2でゴボウがしっかり炒まっているか、少し食べて確認してください。もし生っぽかったらさらに2分追加して蒸し焼きにします。また、焼きたて熱々のゴボウにすぐ薄口しょうゆを絡めることで味がしっかり定着します。,鮭は翌日までに食べきってください。ゴボウは3日間保存可能です。
